STRENUO DIFENSORE DEL SUO TERRITORIO, ABBAIA E MORDE PER RESPINGERE GLI INTRUSI.
CORAGGIOSO E FEDELE, SI OPPONE SENZA TIMORE ANCHE A NEMICI PIÙ GRANDI E FORTI DI LUI.
DECISAMENTE LEALE, RINGHIA FURIOSAMENTE A CHIUNQUE PER PROTEGGERE IL SUO ALLENATORE DA UN ATTACCO.
MOLTO AMICHEVOLE E FEDELE VERSO LE PERSONE. ALLONTANA I NEMICI ABBAIANDO E MORDENDOLI.
UN POKÉMON FEDELE PER NATURA. RIMANE IMMOBILE FINCHÉ NON RICEVE ORDINI DAL SUO ALLENATORE.
DI INDOLE MOLTO LEALE, ABBAIA FURIOSAMENTE CONTRO CHIUNQUE MINACCI DI ATTACCARE IL SUO ALLENATORE.
È MOLTO FEDELE AL SUO ALLENATORE. ABBAIA CON FORZA CONTRO CHI SI AVVICINA TROPPO, INSEGUENDOLO E COSTRINGENDOLO ALLA FUGA.
È INTELLIGENTE E FEDELE, MA ABBAIA MINACCIOSO CONTRO GLI SCONOSCIUTI E CONTRO CHIUNQUE INVADA IL SUO TERRITORIO.
SEMBRA TANTO CARINO, MA SE QUALCUNO SI AVVICINA AL SUO ALLENATORE, REAGISCE ABBAIANDO E MORDENDO.
È MOLTO DOCILE CON GLI ESSERI UMANI A CUI SI AFFEZIONA, MA IN NATURA LOTTA FURIOSAMENTE CON I ROCKRUFF PER IL CONTROLLO DEL TERRITORIO.
È UN POKÉMON MOLTO AFFETTUOSO, MA SI METTE AD ABBAIARE IMPETUOSAMENTE CONTRO CHIUNQUE INVADA IL SUO HABITAT.
CORAGGIOSO E FEDELE, SI OPPONE SENZA PAURA ANCHE A NEMICI PIÙ GRANDI E FORTI DI LUI.
