SI DICE CHE LO SHELLDER ATTACCATO ALLA CODA DI SLOWPOKE SI NUTRA DEGLI AVANZI DI QUESTO.
È LENTO E PIGRO E VIVE IN RIVA AL MARE. DIVENTA SLOWPOKE SE GLI SI STACCA LO SHELLDER DALLA CODA.
SE COMBATTENDO PERDE LO SHELLDER CHE GLI MORDE LA CODA, SI TRASFORMA IN UN COMUNE SLOWPOKE.
DI NATURA PIUTTOSTO OTTUSA, HA PERSO LA SENSIBILITÀ AL DOLORE A CAUSA DEL VELENO DI UNO SHELLDER.
LO SHELLDER CHE GLI STA ATTACCATO NON SI STACCA MAI, A CAUSA DEL PROFUMO APPETITOSO DELLA CODA.
SLOWBRO HA UNO SHELLDER SALDAMENTE ATTACCATO ALLA CODA, CHE QUINDI NON PUÒ PIÙ ESSERE USATA PER PESCARE. COSÌ SLOWBRO PUÒ ESSERE VISTO NUOTARE DI MALAVOGLIA PER CATTURARE UNA PREDA.
SLOWBRO NON PUÒ USARE LA CODA PER PESCARE PERCHÉ HA UNO SHELLDER ATTACCATO AD ESSA. ANCHE SE DI MALAVOGLIA, È QUINDI COSTRETTO A NUOTARE PER CATTURARE UNA PREDA.
UNO SLOWPOKE CHE SI TROVAVA IN MARE IN CERCA DI CIBO FU MORSO DA UNO SHELLDER, EVOLVENDOSI IN SLOWBRO.
LO SHELLDER CHE GLI STA ATTACCATO NON SI STACCA MAI A CAUSA DEL PROFUMO APPETITOSO DELLA CODA.
CONTEMPLA IL MARE CON ARIA ASSENTE. IL VELENO DI SHELLDER CHE CIRCOLA NEL SUO CORPO LO RENDE ANCORA PIÙ STORDITO.
LO SHELLDER CHE STA ATTACCATO ALLA SUA CODA PER SUCCHIARNE AVIDAMENTE LA DOLCE LINFA SI È TRASFORMATO, ASSUMENDO UNA FORMA A SPIRALE.
VIVE TRANQUILLO VICINO AL MARE. SE PER CASO LO SHELLDER CHE HA SULLA CODA SI STACCA, TORNA AD ESSERE UNO SLOWPOKE.
VIENE COMPLETAMENTE INGHIOTTITO DA SHELLDER CHE GLI FORNISCE UN RIPARO IMPENETRABILE E PIUTTOSTO CONFORTEVOLE.
