PIÙ SONO GRANDI I PETALI, PIÙ SARÀ IL POLLINE TOSSICO CONTENUTO. FATICA A REGGERE LA TESTA PESANTE.
CON GRAN FRASTUONO E VIOLENZA SCUOTE I SUOI PETALI GRANDISSIMI PER LIBERARE POLLINE VELENOSO.
HA I PETALI PIÙ GRANDI DEL MONDO. AD OGNI SUO PASSO, I PETALI LIBERANO FITTE NUBI DI POLLINE TOSSICO.
IL POLLINE VELENOSO DI VILEPLUME SCATENA PAUROSE REAZIONI ALLERGICHE. PER QUESTO MOTIVO SI CONSIGLIA DI NON AVVICINARSI MAI A NESSUN FIORE DI BOSCO, PER QUANTO BELLO POSSA ESSERE.
VILEPLUME HA I PETALI PIÙ GRANDI AL MONDO. LI USA PER ATTIRARE LA PREDA PER POI RICOPRIRLA DI SPORE VELENOSE. UNA VOLTA IMMOBILIZZATA LA PREDA, IL POKÉMON LA CATTURA E LA DIVORA.
DAI SUOI PETALI, CHE PARE SIANO I PIÙ GRANDI DEL MONDO, SI DIFFONDE UN POLLINE CHE CAUSA ALLERGIE.
PIÙ GRANDI SONO I PETALI, MAGGIORE È LA QUANTITÀ DI POLLINE TOSSICO CHE CONTENGONO. LA TESTA È MOLTO PESANTE.
I SUOI PETALI SONO I PIÙ GRANDI AL MONDO. MENTRE CAMMINA DIFFONDE UN POLLINE CHE CAUSA ALLERGIE.
SCUOTE GLI ENORMI PETALI PER LIBERARE POLLINE VELENOSO, PRODUCENDO UN GRAN FRASTUONO.
HA I PETALI PIÙ GRANDI DEL MONDO. AD OGNI SUO PASSO, LIBERANO FITTE NUBI DI POLLINE TOSSICO.
PIÙ GRANDI SONO I PETALI, MAGGIORE È LA QUANTITÀ DI POLLINE TOSSICO CHE CONTENGONO. LA TESTA, PERÒ, DIVENTA MOLTO PESANTE E FA FATICA A SOSTENERLA.
