VA ALLA DERIVA IN ACQUE POCO PROFONDE. SE PESCATO PER SBAGLIO, COLPISCE CON UN ACIDO PUNGENTE.
LO SI PUÒ TROVARE TUTTO RINSECCHITO SULLA SPIAGGIA, ME SE È RIGETTATO IN MARE RIVIVE ISTANTANEAMENTE.
CON LA BASSA MAREA SI POSSONO TROVARE RESTI DISIDRATATI DI TENTACOOL SUL BAGNASCIUGA.
SI LASCIA TRASPORTARE DALLE ONDE. DIFFICILMENTE VISIBILE IN ACQUA, SI FA NOTARE SOLO QUANDO PUNGE.
GALLEGGIANDO TRA LE ONDE, USA I TENTACOLI VELENOSI PER COLPIRE TUTTO CIÒ CHE INCONTRA SULLA SUA STRADA.
IL CORPO DI TENTACOOL È COMPOSTO QUASI INTERAMENTE DI ACQUA. AFFERRA ED AVVELENA LA PREDA CON I LUNGHI TENTACOLI CHE SONO DOTATI DI PUNGENTI ACULEI SULLE PUNTE.
HA OCCHI TRASPARENTI COME IL CRISTALLO, DAI QUALI LANCIA MISTERIOSI RAGGI DI LUCE.
VA ALLA DERIVA IN ACQUE POCO PROFONDE. SE PESCATO PER SBAGLIO, COLPISCE CON GLI ACULEI PUNGENTI.
SI LASCIA TRASCINARE DALLE CORRENTI. NUMEROSI PESCATORI RIMANGONO FERITI DAI SUOI ACULEI VELENOSI.
VA ALLA DERIVA IN ACQUE POCO PROFONDE. SE PESCATO PER SBAGLIO, COLPISCE CON GLI ARTIGLI PUNGENTI.
SE NE TROVANO SPESSO ESEMPLARI DISIDRATATI SULLA SPIAGGIA. SE RIGETTATI IN ACQUA, DI SOLITO SI RIPRENDONO IMMEDIATAMENTE.
FLUTTUA IN ACQUA LUNGO LA COSTA IN CERCA DI PREDE. I TENTACOLI VELENOSI A VOLTE SI STACCANO, MA COL TEMPO RICRESCONO.
