SCAVA PER BERE DALLE RADICI DEGLI ALBERI. I FUNGHI SULLA SUA SCHIENA SONO PARASSITI.
SI NASCONDE SOTTOTERRA DOVE SI CIBA DI RADICI. I FUNGHI CHE HA SULLA SCHIENA SONO PARASSITI.
QUANDO NASCE È COPERTO DI SPORE DI FUNGO. QUANDO CRESCE GLI SPUNTANO FUNGHI SULLA SCHIENA.
MENTRE IL CORPO CRESCE, SUL DORSO GLI SPUNTANO FUNGHI ORIENTALI CHIAMATI TOCHUKASO.
IL FUNGO TOCHUKASO CHE GLI CRESCE SUL DORSO LO COSTRINGE AD ASSORBIRE I SUCCHI FORMATI NEI TRONCHI.
PARAS HA SULLA SCHIENA DEI FUNGHI PARASSITI CHIAMATI TOCHUKASO, CHE CRESCONO TRAENDO NUTRIMENTO DAL PARAS OSPITE. SONO MOLTO APPREZZATI COME FARMACO DI LONGEVITÀ.
PARAS HA SULLA SCHIENA DEI FUNGHI PARASSITI CHIAMATI TOCHUKASO, CHE TRAGGONO NUTRIMENTO DAL PARAS OSPITE. SONO APPREZZATI COME FARMACO DI LONGEVITÀ.
SUL DORSO DI QUESTO POKÉMON NASCONO FUNGHI CHIAMATI TOCHUKASO, CHE CRESCONO INSIEME A LUI.
HA SUL DORSO DEI FUNGHI CHIAMATI TOCHUKASO, CHE CRESCONO INSIEME AL PARAS SU CUI SI TROVANO.
MANGIA A PIÙ NON POSSO, MA I FUNGHI CHE CRESCONO SUL SUO DORSO GLI RUBANO QUASI TUTTO IL NUTRIMENTO.
I FUNGHI SUL DORSO DI PARAS CRESCONO CON DIFFICOLTÀ AD ALOLA, FORSE PER MANCANZA DI UMIDITÀ O DI NUTRIMENTO.
I FUNGHI CHE CRESCONO SUL DORSO DI QUESTO POKÉMON, CHIAMATI TOCHUKASO, CONTROLLANO LE SUE AZIONI CONTRO LA SUA VOLONTÀ.
SCAVA NELLA TERRA PER CIBARSI DELLE RADICI DEGLI ALBERI, MA I FUNGHI CHE HA SUL DORSO ASSORBONO QUASI TUTTE LE SOSTANZE NUTRITIVE.
