LA LEGGENDA NARRA CHE IN RARI CASI UNA DELLE SUE TESTE SI STACCA E PROCEDE COME UN EXEGGCUTE.
IL SUO VERSO È UN GRIDO CHE SPACCA I TIMPANI DOVUTO ALLA CONFUSIONE DI TRE TESTE CHE PENSANO INSIEME.
HA TRE TESTE CHE RAGIONANO AUTONOMAMENTE. MA SONO AMICHEVOLI E NON LITIGANO MAI TRA DI LORO.
SE UNA TESTA CADE, EMETTE UN RICHIAMO TELEPATICO PER FORMARE UN GRUPPO DI EXEGGCUTE.
SE SI TROVA IN UN AMBIENTE ADATTO, GLI CRESCONO MOLTE TESTE. CADENDO, UNA TESTA DIVENTA UN EXEGGCUTE.
EXEGGUTOR È ORIGINARIO DEI TROPICI. LE TESTE CRESCONO COSTANTEMENTE SE ESPOSTE A FORTE LUCE SOLARE. PARE CHE QUANDO LE TESTE CADONO, SI UNISCANO PER FORMARE UN EXEGGCUTE.
EXEGGUTOR È ORIGINARIO DEI TROPICI. LE TESTE CRESCONO COSTANTEMENTE ALLA LUCE SOLARE. PARE CHE QUANDO LE TESTE CADONO, SI UNISCANO PER FORMARE UN EXEGGCUTE.
VIENE CHIAMATO LA FORESTA CON LE GAMBE.OGNUNA DELLE NOCI CHE LO COMPONGONO HA UNA PROPRIA VOLONTÀ.
LA LEGGENDA NARRA CHE IN RARI CASI UNA DELLE SUE TESTE SI STACCA PER FORMARE UN EXEGGCUTE.
SE PERDE UNA DELLE TESTE, QUESTA INIZIA A EMETTERE UN RICHIAMO TELEPATICO PER FORMARE UN GRUPPO DI EXEGGCUTE.
LE TRE TESTE RAGIONANO AUTONOMAMENTE E COMUNICANO TRAMITE TELEPATIA PER PRENDERE DECISIONI IN COMUNE.
DURANTE LA CRESCITA, UNA DELLE SUE TRE TESTE CADE E DÀ VITA A UN NUOVO EXEGGCUTE.
LE SUE TRE TESTE RAGIONANO IN MODO INDIPENDENTE. QUANDO VOGLIONO ANDARE IN DIREZIONI DIVERSE, EXEGGUTOR NON RIESCE PIÙ A MUOVERSI.
IL SUO VERSO CHIASSOSO È DOVUTO ALLA CONFUSIONE CREATA DALLE TRE TESTE CHE PENSANO OGNUNA PER CONTO PROPRIO.
CON LA CRESCITA I SUOI POTERI PSICHICI SONO DIVENTATI OBSOLETI, MENTRE SI È RISVEGLIATA NEL POKÉMON LA FORZA LATENTE DEL TIPO DRAGO.
IL FORTE SOLE DI ALOLA HA RISVEGLIATO IL POTENZIALE NASCOSTO DI EXEGGUTE, FACENDOLO EVOLVERE IN QUESTA FORMA.
