ALLA NASCITA HA SOLO UNA CODA, CHE CON IL PASSARE DEL TEMPO SI MOLTIPLICA.
IL SUO MANTELLO È MERAVIGLIOSO. CRESCENDO LA SUA MORBIDISSIMA CODA SI MOLTIPLICA FORMANDONE ALTRE.
CRESCENDO, LA SUA CODA BIANCA SI COLORA E SI DIVIDE IN SEI. È MOLTO TENERO E AFFETTUOSO.
SE È ATTACCATO DA UN NEMICO PIÙ FORTE, SI FINGE FERITO PER INGANNARLO E FUGGIRE.
MENTRE GLI CRESCE IL CORPO, LE SEI CODE SI FANNO PIÙ BELLE, CON UNA PELLICCIA ANCORA PIÙ ELEGANTE.
AL MOMENTO DELLA NASCITA VULPIX HA UNA SOLA CODA BIANCA. SE IL POKÉMON RICEVE MOLTO AMORE DAL PROPRIO ALLENATORE LA CODA SI DIVIDE IN SEI DIRAMAZIONI CHE POI SI ARRICCIANO ELEGANTEMENTE.
QUANDO È GIOVANE HA SEI MERAVIGLIOSE CODE, CHE SI MOLTIPLICANO DURANTE LA SUA CRESCITA.
ALLA NASCITA HA SOLO UNA CODA, CHE CON IL PASSARE DEL TEMPO SVILUPPA DIVERSE DIRAMAZIONI.
CONTROLLA PALLE INFUOCATE. VIA VIA CHE CRESCE, DALLE SUE SEI CODE SE NE GENERANO DELLE ALTRE.
LE SUE SEI CODE DIVENTANO SEMPRE PIÙ BELLE MAN MANO CHE CRESCONO. LA PELLICCIA DI CUI SONO RICOPERTE È CALDA AL TATTO.
È MOLTO AMATO PER IL SUO MANTO E LE SUE CODE. MAN MANO CHE CRESCE, LA SUA CODA SVILUPPA DIVERSE DIRAMAZIONI.
EMETTE DALLA BOCCA FIAMME SIMILI A FUOCHI FATUI, E PER QUESTO MOTIVO A VOLTE VIENE PRESO PER UN FANTASMA.
LE SUE CODE LO RENDONO UN POKÉMON MOLTO AMATO. VANNO SPAZZOLATE CON CURA PER EVITARE CHE SI RIEMPIANO SUBITO DI NODI.
CREA PALLE INFUOCATE CHE USA CON MAESTRIA PER CATTURARE LE PREDE. SE ALLENATO FIN DA CUCCIOLO, SI AFFEZIONA COME UN POKÉMON CAGNOLINO.
IL SUO MANTO E LE SUE CODE SONO MERAVIGLIOSI. CRESCENDO, LA SUA CODA SVILUPPA DIVERSE DIRAMAZIONI.
MAN MANO CHE CRESCE, LE SUE SEI CODE DIVENTANO SEMPRE PIÙ BELLE. LA PELLICCIA DI CUI SONO RICOPERTE È CALDA AL TATTO.
QUANDO HA TROPPO CALDO ABBASSA LA TEMPERATURA PROIETTANDO TUTTO INTORNO A SÉ PEZZI DI GHIACCIO CHE CREA DALLE SUE SEI CODE.
È DAVVERO CARINO, MA SE QUALCUNO GLI SI AVVICINA SENZA CAUTELA RISCHIA DI ESSERE RIDOTTO A UN BLOCCO DI GHIACCIO DAL NINETALES CAPOBRANCO.
HA IMPARATO A UTILIZZARE LA POTENZA DEL GHIACCIO DOPO AVER VISSUTO PER ANNI SUI MONTI COPERTI DA NEVI PERENNI DELLA REGIONE DI ALOLA.
QUANDO SI OSSERVANO AL MICROSCOPIO I RICCIOLI SULLA TESTA E SULLE CODE, SI NOTA CHE PRODUCONO PICCOLI CRISTALLI DI GHIACCIO.
