LE PINNE DI FEEBAS SONO LOGORE E SBRINDELLATE FIN DALLA NASCITA. A CAUSA DI QUESTO SUO ASPETTO DISORDINATO, IL POKÉMON È SOLITAMENTE IGNORATO. È IN GRADO DI VIVERE IN MARE E NEI FIUMI.
SEBBENE ABBIA IL CORPO LOGORO, FEEBAS È MOLTO TENACE E RESISTENTE, POTENDO COSÌ VIVERE IN OGNI LUOGO. TUTTAVIA, QUESTO POKÉMON È ANCHE LENTO E POCO SVEGLIO, IL CHE LO RENDE UNA PREDA FACILE.
FEEBAS VIVE IN LAGHI INFESTATI DA ALGHE. A CAUSA DEL SUO ASPETTO ESTREMAMENTE DISORDINATO, SOLO POCHI ALLENATORI ALLEVANO QUESTO POKÉMON.
È NOTO PER IL SUO ASPETTO DISORDINATO. È MOLTO COMUNE E TENDE A RAGGRUPPARSI NEI SOLITI POSTI.
SI NUTRE DI QUALSIASI COSA, PERTANTO VIVE ANCHE IN FIUMI E LAGHI INQUINATI. È UN POKÉMON DI SCARSO INTERESSE.
È UN POKÉMON BRUTTO E SCIATTO. TUTTAVIA, È MOLTO RESISTENTE E SOPRAVVIVE IN POCHISSIMA ACQUA.
IL POKÉMON PIÙ SCIATTO. VIVE IN GRANDI GRUPPI NEI LETTI DEI FIUMI RICCHI DI PIANTE ACQUATICHE.
NON È MOLTO POPOLARE PER VIA DEL SUO MISERO ASPETTO, MA È MOLTO RESISTENTE E IN GRADO DI VIVERE ANCHE IN ACQUE INQUINATE.
PER VIA DEL SUO MISERO ASPETTO, NESSUNO LO CATTURA E NESSUN PREDATORE LO TROVA APPETITOSO. PER QUESTO CONTINUA A PROLIFERARE.
MOLTI NON LO DEGNANO DI UNO SGUARDO PER VIA DEL SUO MISERO ASPETTO. TUTTAVIA, ALCUNI COLLEZIONISTI CATTURANO SOLO I FEEBAS.
