SEBBENE PICCOLO, I SUOI BAFFI VELENOSI SONO MOLTO PERICOLOSI. LA FEMMINA HA CORNA PIÙ MINUTE.
POKÉMON MOLTO TRANQUILLO CHE RIFUGGE LA LOTTA. TUTTAVIA IL CORNO SULLA SOMMITÀ DEL CAPO È VELENOSO.
IL VELENO DEL SUO PICCOLO CORNO È POTENTISSIMO. ANCHE UNA LIEVE FERITA PUÒ ESSERE FATALE.
SEBBENE NON TROPPO AGGUERRITO, SE SI SENTE MINACCIATO TORMENTA I NEMICI CON I SUOI ACULEI VELENOSI.
MOLTO DOCILE E MINUTO, SE VIENE ATTACCATO SI PROTEGGE CON IL PICCOLO CORNO VELENOSO.
GLI ACULEI DI NIDORAN SECERNONO UN POTENTE VELENO. SI PENSA CHE SI SIANO SVILUPPATI PER PROTEGGERE QUESTO POKÉMON DAL CORPO MINUTO. QUANDO È ADIRATO, RILASCIA UNA POTENTE TOSSINA DAL CORNO.
GLI ACULEI DI NIDORAN FEMMINA SECERNONO UN POTENTE VELENO E SI SAREBBERO SVILUPPATI PER PROTEGGERE IL CORPO MINUTO. SE SI ADIRA RILASCIA UNA POTENTE TOSSINA DAL CORNO.
NONOSTANTE SIA PIUTTOSTO MINUTO, I BAFFI VELENOSI LO RENDONO PIUTTOSTO PERICOLOSO. LE FEMMINE HANNO UN CORNO PIÙ PICCOLO.
SEBBENE PICCOLO, I SUOI BAFFI VELENOSI SONO MOLTO PERICOLOSI. LA FEMMINA HA UN CORNO PIÙ MINUTO.
NON AMA COMBATTERE, MA ANCHE UNA SOLA GOCCIA DEL VELENO CHE SECERNE DAGLI ACULEI PUÒ ESSERE FATALE.
MOLTO DOCILE E MINUTA, SE VIENE ATTACCATA SI PROTEGGE CON IL PICCOLO CORNO VELENOSO.
POKÉMON MOLTO TRANQUILLO CHE RIFUGGE LA LOTTA. BISOGNA FARE ATTENZIONE AL SUO PICCOLO CORNO, CHE SECERNE VELENO.
