id;name
246;metaltestata
10;graffio
118;tagliofuria
106;finta
127;ferrartigli
97;lacerazione
200;garanzia
208;nottesferza
129;introforza
49;iper raggio
65;fossa
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
272;calciobasso
275;coro
219;focalcolpo
116;falsofinale
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
212;forbice x
206;velenpuntura
137;spaccaroccia
149;forzasegreta
322;urlorabbia
207;neropulsar
349;crescipugno
13;taglio
25;bottintesta
233;psicotaglio
124;inseguimento
146;vendetta
202;sbigoattacco
299;doppiocolpo
274;ripicca
148;privazione
102;russare
