id;name
328;pungiglione
42;idropompa
41;pistolacqua
28;azione
34;velenospina
88;bolla
114;rotolamento
145;vendetta
193;acquadisale
36;missilspillo
31;riduttore
208;idrondata
205;velenpuntura
264;velenoshock
128;introforza
44;geloraggio
45;bora
134;palla ombra
268;fangonda
106;fangobomba
141;facciata
274;coro
279;idrovampata
91;esplosione
198;rivincita
148;forzasegreta
43;surf
77;cascata
149;sub
272;acidobomba
253;acquagetto
162;sgomento
47;bollaraggio
168;segnoraggio
188;idropulsar
179;rimbalzo
110;ventogelato
187;ondashock
101;russare
