id;name
41;pistolacqua
226;geloscheggia
189;idropulsar
29;corposcontro
44;geloraggio
194;acquadisale
42;idropompa
129;introforza
45;bora
49;iper raggio
61;fulmine
62;tuono
67;psichico
142;facciata
275;coro
276;echeggiavoce
223;gigaimpatto
293;battiterra
294;alitogelido
137;spaccaroccia
149;forzasegreta
43;surf
53;forza
77;cascata
150;sub
134;forzantica
225;slavina
214;dragopulsar
333;liofilizzazione
136;divinazione
138;mulinello
209;idrondata
298;giravvita
157;granvoce
111;ventogelato
246;metaltestata
126;codacciaio
113;oltraggio
188;ondashock
169;segnoraggio
102;russare
234;cozzata zen
