id;name
28;azione
4;cometapugno
104;pugnorapido
167;ventargenteo
79;comete
33;sdoppiatore
212;ronzio
128;introforza
49;iper raggio
57;solarraggio
65;fossa
146;breccia
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
284;acrobazia
222;gigaimpatto
291;entomoblocco
344;assillo
196;retromarcia
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
250;coleomorso
89;stordipugno
216;assorbipugno
142;centripugno
147;privazione
46;psicoraggio
113;gigassorbimento
8;gelopugno
101;russare
9;tuonopugno
139;baraonda
