id;name
47;bollaraggio
3;doppiasberla
180;rimbalzo
157;granvoce
129;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
65;fossa
67;psichico
147;breccia
142;facciata
100;furto
275;coro
276;echeggiavoce
219;focalcolpo
280;idrovampata
199;rivincita
223;gigaimpatto
293;battiterra
137;spaccaroccia
149;forzasegreta
349;crescipugno
43;surf
53;forza
77;cascata
150;sub
155;palla gelo
181;colpodifango
189;idropulsar
143;centripugno
8;gelopugno
111;ventogelato
102;russare
88;bolla
41;pistolacqua
29;corposcontro
192;svegliopacca
42;idropompa
232;pantanobomba
