id;name
32;colpo
37;morso
131;tornado
229;gelodenti
209;idrondata
132;sgranocchio
42;idropompa
49;iper raggio
129;introforza
44;geloraggio
45;bora
61;fulmine
62;tuono
64;terremoto
40;lanciafiamme
76;fuocobomba
142;facciata
275;coro
280;idrovampata
284;bruciatutto
199;rivincita
223;gigaimpatto
248;pietrataglio
293;battiterra
295;codadrago
137;spaccaroccia
149;forzasegreta
207;neropulsar
43;surf
53;forza
77;cascata
150;sub
180;rimbalzo
214;dragopulsar
111;ventogelato
246;metaltestata
126;codacciaio
113;oltraggio
102;russare
140;baraonda
189;idropulsar
28;azione
