id;name
246;metaltestata
229;gelodenti
230;rogodenti
228;fulmindenti
37;morso
134;forzantica
132;sgranocchio
31;riduttore
282;cadutalibera
49;iper raggio
94;frana
223;gigaimpatto
178;dragartigli
129;introforza
266;abbattimento
64;terremoto
40;lanciafiamme
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
119;alacciaio
284;bruciatutto
199;rivincita
248;pietrataglio
293;battiterra
137;spaccaroccia
149;forzasegreta
16;volo
53;forza
200;garanzia
123;dragospiro
124;inseguimento
209;idrondata
214;dragopulsar
222;geoforza
141;ondacalda
126;codacciaio
87;aeroattacco
102;russare
